,국가(대륙)별,상품군별,판매유형별,시점,데이터
316,중국,컴퓨터 및 주변기기,면세점 이외,2019.1/4,29
317,중국,컴퓨터 및 주변기기,면세점 이외,2019.2/4,19
318,중국,컴퓨터 및 주변기기,면세점 이외,2019.3/4,26
319,중국,컴퓨터 및 주변기기,면세점 이외,2019.4/4,34
320,중국,컴퓨터 및 주변기기,면세점 이외,2020.1/4,61
321,중국,컴퓨터 및 주변기기,면세점 이외,2020.2/4,41
322,중국,컴퓨터 및 주변기기,면세점 이외,2020.3/4,66
323,중국,컴퓨터 및 주변기기,면세점 이외,2020.4/4,67
324,중국,컴퓨터 및 주변기기,면세점 이외,2021.1/4,46
325,중국,컴퓨터 및 주변기기,면세점 이외,2021.2/4,49
326,중국,컴퓨터 및 주변기기,면세점 이외,2021.3/4,49
327,중국,컴퓨터 및 주변기기,면세점 이외,2021.4/4,52
328,중국,컴퓨터 및 주변기기,면세점 이외,2022.1/4,19
329,중국,컴퓨터 및 주변기기,면세점 이외,2022.2/4 p),26
330,중국,가전·전자·통신기기,면세점 이외,2017.1/4,391
331,중국,가전·전자·통신기기,면세점 이외,2017.2/4,310
332,중국,가전·전자·통신기기,면세점 이외,2017.3/4,184
333,중국,가전·전자·통신기기,면세점 이외,2017.4/4,352
334,중국,가전·전자·통신기기,면세점 이외,2018.1/4,379
335,중국,가전·전자·통신기기,면세점 이외,2018.2/4,338
336,중국,가전·전자·통신기기,면세점 이외,2018.3/4,230
337,중국,가전·전자·통신기기,면세점 이외,2018.4/4,290
338,중국,가전·전자·통신기기,면세점 이외,2019.1/4,310
339,중국,가전·전자·통신기기,면세점 이외,2019.2/4,347
340,중국,가전·전자·통신기기,면세점 이외,2019.3/4,402
341,중국,가전·전자·통신기기,면세점 이외,2019.4/4,499
342,중국,가전·전자·통신기기,면세점 이외,2020.1/4,443
343,중국,가전·전자·통신기기,면세점 이외,2020.2/4,400
344,중국,가전·전자·통신기기,면세점 이외,2020.3/4,316
345,중국,가전·전자·통신기기,면세점 이외,2020.4/4,194
346,중국,가전·전자·통신기기,면세점 이외,2021.1/4,222
347,중국,가전·전자·통신기기,면세점 이외,2021.2/4,175
348,중국,가전·전자·통신기기,면세점 이외,2021.3/4,108
349,중국,가전·전자·통신기기,면세점 이외,2021.4/4,87
